"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2025","92,250.0","89,509.1","93,061.1","89,128.8","0.43K","3.06%"
"07/01/2025","89,509.1","90,922.1","91,198.4","89,308.5","0.38K","-1.60%"
"06/30/2025","90,961.9","92,453.1","92,802.6","90,801.2","0.30K","-1.57%"
"06/29/2025","92,415.9","91,604.7","92,551.1","91,521.1","0.16K","0.89%"
"06/28/2025","91,604.7","91,455.2","91,835.2","91,292.8","0.20K","0.17%"
"06/27/2025","91,448.9","91,503.0","92,076.9","90,811.0","0.23K","-0.05%"
"06/26/2025","91,496.3","91,939.9","92,598.5","91,186.6","0.36K","-0.50%"
"06/25/2025","91,958.9","91,350.0","93,239.9","91,166.6","0.51K","0.67%"
"06/24/2025","91,349.9","90,914.9","91,499.9","90,338.5","0.44K","0.47%"
"06/23/2025","90,920.9","87,792.0","91,440.0","86,519.6","0.66K","3.52%"
"06/22/2025","87,825.2","88,724.9","89,736.8","85,439.2","0.88K","-0.99%"
"06/21/2025","88,699.6","89,657.3","90,300.0","87,714.5","0.22K","-1.08%"
"06/20/2025","89,670.8","90,909.1","92,469.1","88,751.1","0.44K","-1.36%"
"06/19/2025","90,909.1","91,407.9","91,735.0","90,578.3","0.24K","-0.54%"
"06/18/2025","91,399.8","91,076.1","91,766.7","90,207.1","0.41K","0.36%"
"06/17/2025","91,076.0","92,480.5","93,182.0","89,924.2","0.47K","-1.48%"
"06/16/2025","92,443.4","91,500.0","94,222.0","90,940.2","0.41K","1.03%"
"06/15/2025","91,499.9","91,352.3","91,950.0","90,624.0","0.30K","0.15%"
"06/14/2025","91,366.6","91,900.8","91,990.0","90,455.0","0.09K","-0.60%"
"06/13/2025","91,916.9","91,124.9","91,950.0","89,149.0","0.50K","0.80%"
"06/12/2025","91,186.7","94,409.8","94,564.3","91,186.7","0.50K","-3.44%"
"06/11/2025","94,438.8","96,399.2","96,399.2","94,083.1","0.42K","-2.03%"
"06/10/2025","96,399.2","96,500.0","96,520.0","94,955.9","0.44K","-0.10%"
"06/09/2025","96,500.0","92,750.1","96,708.8","92,306.9","0.38K","4.04%"
"06/08/2025","92,750.0","92,678.5","93,400.0","92,217.6","0.12K","0.08%"
"06/07/2025","92,678.5","91,610.7","92,953.5","91,256.8","0.13K","1.18%"
"06/06/2025","91,597.2","88,706.2","92,503.0","88,404.3","0.46K","3.27%"
"06/05/2025","88,700.3","91,696.4","92,672.5","87,789.0","0.60K","-3.27%"
"06/04/2025","91,696.4","92,634.6","93,138.9","91,338.4","0.40K","-1.02%"
"06/03/2025","92,638.8","92,493.6","93,880.0","91,951.0","0.39K","0.19%"
"06/02/2025","92,465.2","93,118.4","93,118.4","90,824.0","0.31K","-0.70%"
"06/01/2025","93,118.3","92,278.0","93,210.0","91,572.2","0.14K","0.91%"
"05/31/2025","92,278.0","91,716.9","92,500.0","90,972.3","0.20K","0.63%"
"05/30/2025","91,698.5","92,847.2","93,742.0","91,423.1","0.62K","-1.24%"
"05/29/2025","92,847.2","95,982.8","96,525.0","92,620.5","0.59K","-3.22%"
"05/28/2025","95,936.1","96,111.0","96,542.7","94,593.3","0.47K","-0.18%"
"05/27/2025","96,110.9","96,136.8","97,500.0","94,417.5","0.43K","-0.03%"
"05/26/2025","96,138.0","95,877.1","97,056.0","95,487.0","0.44K","0.27%"
"05/25/2025","95,877.0","94,901.4","96,050.0","93,980.1","0.20K","1.03%"
"05/24/2025","94,901.4","94,468.0","96,341.7","94,150.1","0.22K","0.49%"
"05/23/2025","94,439.1","98,942.9","98,994.9","94,090.1","0.88K","-4.55%"
"05/22/2025","98,936.0","96,733.4","99,344.0","96,401.1","1.04K","2.28%"
"05/21/2025","96,730.1","94,654.9","97,684.0","93,522.5","1.20K","2.22%"
"05/20/2025","94,627.2","93,997.4","95,062.1","92,692.5","0.56K","0.68%"
"05/19/2025","93,984.4","95,081.2","95,594.5","90,710.1","0.74K","-1.22%"
"05/18/2025","95,143.9","92,404.1","95,202.5","92,396.4","0.39K","2.95%"
"05/17/2025","92,420.0","92,644.3","92,906.5","91,999.0","0.19K","-0.24%"
"05/16/2025","92,643.1","92,732.2","93,800.0","92,104.3","0.28K","-0.10%"
"05/15/2025","92,731.8","92,564.1","93,200.0","90,646.8","0.48K","0.18%"
"05/14/2025","92,564.1","93,160.1","93,160.1","91,590.1","0.37K","-0.64%"
"05/13/2025","93,160.0","92,654.9","93,810.2","91,371.1","0.30K","0.55%"
"05/12/2025","92,654.9","92,667.3","94,790.9","90,850.0","0.72K","-0.01%"
"05/11/2025","92,667.3","92,992.2","93,196.1","91,850.1","0.24K","-0.35%"
"05/10/2025","92,992.3","91,484.0","93,110.9","91,340.3","0.28K","1.66%"
"05/09/2025","91,472.7","91,871.7","92,619.8","90,742.2","0.44K","-0.47%"
"05/08/2025","91,903.0","85,806.4","92,555.8","85,640.8","0.85K","7.11%"
"05/07/2025","85,806.4","85,431.2","86,188.7","84,500.1","0.32K","0.50%"
"05/06/2025","85,377.3","83,771.3","85,441.6","82,271.3","0.24K","1.92%"
"05/05/2025","83,768.0","83,274.2","84,144.8","82,500.1","0.36K","0.56%"
"05/04/2025","83,297.5","84,897.6","85,275.8","83,181.8","0.16K","-1.89%"
"05/03/2025","84,901.2","85,775.6","85,791.1","84,836.4","0.19K","-1.02%"
"05/02/2025","85,775.5","85,435.6","86,384.2","85,051.3","0.43K","0.40%"
"05/01/2025","85,435.6","83,196.8","86,330.0","83,166.5","0.45K","2.68%"
"04/30/2025","83,202.1","82,785.1","83,704.3","81,797.4","0.32K","0.47%"
"04/29/2025","82,811.3","83,317.2","83,892.2","82,400.0","0.26K","-0.55%"
"04/28/2025","83,268.6","82,703.9","84,246.5","81,831.0","0.29K","0.68%"
"04/27/2025","82,704.0","83,332.6","83,889.9","82,500.0","0.14K","-0.73%"
"04/26/2025","83,310.3","83,336.3","83,799.2","82,700.0","0.12K","-0.06%"
"04/25/2025","83,357.5","82,670.0","84,308.8","81,851.6","0.46K","0.88%"
"04/24/2025","82,627.9","82,720.3","82,813.8","80,613.6","0.37K","-0.12%"
"04/23/2025","82,725.1","82,388.1","83,196.0","80,800.4","0.85K","0.51%"
"04/22/2025","82,306.0","75,982.8","82,612.9","75,809.9","0.91K","8.32%"
"04/21/2025","75,982.8","74,440.1","76,890.3","74,339.1","0.55K","2.04%"
"04/20/2025","74,464.3","74,673.7","74,892.4","73,801.0","0.25K","-0.28%"
"04/19/2025","74,673.7","74,146.7","75,118.2","74,100.1","0.10K","0.71%"
"04/18/2025","74,146.7","74,701.6","74,811.1","74,065.6","0.10K","-0.73%"
"04/17/2025","74,689.8","73,727.1","75,243.1","73,677.6","0.38K","1.31%"
"04/16/2025","73,721.6","74,071.0","75,166.6","73,111.0","0.40K","-0.50%"
"04/15/2025","74,090.3","74,672.0","76,384.4","74,070.9","0.42K","-0.69%"
"04/14/2025","74,608.4","73,869.9","75,566.7","73,663.7","0.51K","1.08%"
"04/13/2025","73,808.7","75,144.1","75,840.7","73,300.0","0.29K","-1.79%"
"04/12/2025","75,155.1","73,426.8","75,690.4","72,948.4","0.24K","2.38%"
"04/11/2025","73,409.9","70,703.5","74,550.9","69,849.1","0.72K","3.81%"
"04/10/2025","70,719.0","75,409.3","75,500.0","70,104.7","0.60K","-6.27%"
"04/09/2025","75,446.9","69,479.5","76,334.9","67,638.6","1.36K","8.60%"
"04/08/2025","69,469.5","72,516.6","73,730.8","69,432.5","0.72K","-4.20%"
"04/07/2025","72,514.2","71,271.0","74,020.0","67,500.1","1.65K","1.79%"
"04/06/2025","71,241.4","76,200.3","76,397.7","70,045.9","0.91K","-6.45%"
"04/05/2025","76,155.3","76,528.2","76,856.1","75,175.1","0.18K","-0.48%"
"04/04/2025","76,519.9","75,299.0","77,242.3","73,941.9","0.61K","1.67%"
"04/03/2025","75,260.1","75,658.7","76,885.4","73,123.0","0.74K","-0.53%"
"04/02/2025","75,658.7","78,905.9","81,202.0","75,658.7","0.74K","-4.11%"
"04/01/2025","78,905.3","76,238.1","79,200.0","76,153.5","0.44K","3.42%"
"03/31/2025","76,292.4","76,139.5","77,627.8","75,082.6","0.51K","0.26%"
"03/30/2025","76,092.2","76,379.0","77,182.3","75,480.1","0.15K","-0.38%"
"03/29/2025","76,379.0","77,929.5","78,134.4","75,458.6","0.31K","-1.99%"
"03/28/2025","77,929.5","80,760.4","81,014.9","77,250.3","0.42K","-3.49%"
"03/27/2025","80,749.5","80,893.8","81,394.0","79,562.3","0.33K","-0.18%"
"03/26/2025","80,893.8","81,053.3","81,859.0","79,861.1","0.51K","-0.29%"
"03/25/2025","81,127.0","81,014.1","82,003.0","79,963.7","0.34K","0.15%"
"03/24/2025","81,006.9","79,411.2","82,065.9","79,022.7","0.55K","2.05%"
"03/23/2025","79,380.8","77,487.6","79,426.5","77,454.7","0.14K","2.44%"
"03/22/2025","77,487.5","77,705.4","78,141.3","77,351.9","0.07K","-0.24%"
"03/21/2025","77,677.1","77,572.8","78,297.7","76,824.0","0.38K","0.17%"
"03/20/2025","77,547.7","79,627.3","80,100.0","77,107.2","0.40K","-2.59%"
"03/19/2025","79,612.1","75,593.9","79,763.3","75,515.0","0.53K","5.28%"
"03/18/2025","75,619.1","76,956.8","76,956.8","74,250.1","0.40K","-1.77%"
"03/17/2025","76,980.4","75,926.3","77,600.1","75,718.7","0.36K","1.38%"
"03/16/2025","75,929.9","77,580.5","78,168.8","75,378.8","0.21K","-2.13%"
"03/15/2025","77,580.5","77,249.1","77,851.0","76,945.2","0.23K","0.43%"
"03/14/2025","77,249.0","74,735.4","78,446.0","74,501.6","0.65K","3.38%"
"03/13/2025","74,722.9","76,908.9","77,390.0","73,620.1","0.48K","-2.94%"
"03/12/2025","76,986.0","76,001.2","77,406.9","73,949.1","0.55K","1.32%"
"03/11/2025","75,983.0","72,475.0","76,472.6","70,678.9","1.01K","4.86%"
"03/10/2025","72,461.6","74,334.0","77,343.4","71,555.8","1.09K","-2.42%"
"03/09/2025","74,257.5","79,613.2","79,847.6","73,742.4","0.69K","-6.69%"
"03/08/2025","79,578.8","80,065.1","80,179.0","78,739.9","0.23K","-0.65%"
"03/07/2025","80,098.0","83,398.7","84,477.8","78,808.6","1.26K","-3.96%"
"03/06/2025","83,398.7","83,946.2","85,876.8","81,450.3","0.48K","-0.71%"
"03/05/2025","83,998.1","82,160.0","84,922.9","81,370.3","0.57K","2.25%"
"03/04/2025","82,148.1","82,206.8","83,697.1","77,727.8","1.24K","0.01%"
"03/03/2025","82,141.7","90,598.4","90,729.2","81,154.1","1.41K","-9.33%"
"03/02/2025","90,595.9","83,020.3","91,783.2","82,042.7","1.12K","9.12%"
"03/01/2025","83,020.3","81,300.1","83,397.2","80,777.2","0.35K","2.07%"
"02/28/2025","81,334.0","81,355.8","81,986.7","75,200.1","1.76K","-0.03%"
"02/27/2025","81,355.8","80,173.3","82,998.6","79,430.7","0.69K","1.48%"
"02/26/2025","80,166.6","84,315.6","85,007.0","78,339.3","1.24K","-4.92%"
"02/25/2025","84,316.1","87,458.7","88,360.1","81,818.1","1.53K","-3.69%"
"02/24/2025","87,547.0","91,900.1","92,099.4","87,346.4","0.55K","-4.74%"
"02/23/2025","91,900.1","92,342.2","92,449.9","91,112.8","0.09K","-0.48%"
"02/22/2025","92,342.2","91,972.9","92,690.7","91,609.5","0.10K","0.40%"
"02/21/2025","91,972.9","93,673.1","94,975.4","90,660.0","0.51K","-1.82%"
"02/20/2025","93,673.1","92,670.8","93,997.0","92,474.0","0.27K","1.08%"
"02/19/2025","92,670.8","91,468.2","92,800.0","90,927.9","0.28K","1.34%"
"02/18/2025","91,449.4","91,367.8","92,500.0","89,438.5","0.59K","0.09%"
"02/17/2025","91,367.8","91,751.1","92,570.0","90,900.0","0.35K","-0.42%"
"02/16/2025","91,751.1","93,085.1","93,200.0","91,690.8","0.11K","-1.43%"
"02/15/2025","93,085.0","92,952.0","93,409.6","92,755.9","0.10K","0.14%"
"02/14/2025","92,951.9","92,406.1","94,080.0","91,800.0","0.38K","0.64%"
"02/13/2025","92,358.8","94,153.5","94,280.0","91,406.0","0.31K","-1.93%"
"02/12/2025","94,173.0","92,433.7","94,434.3","91,234.1","0.51K","1.88%"
"02/11/2025","92,433.7","94,591.5","95,538.0","91,542.3","0.46K","-2.30%"
"02/10/2025","94,611.0","93,600.1","95,272.8","92,522.0","0.40K","1.08%"
"02/09/2025","93,600.1","93,537.6","94,280.4","92,125.2","0.18K","0.07%"
"02/08/2025","93,537.6","93,531.3","93,902.1","92,843.1","0.12K","-0.01%"
"02/07/2025","93,544.0","93,138.7","96,475.2","92,671.5","0.39K","0.53%"
"02/06/2025","93,047.5","92,950.0","95,708.5","92,245.4","0.35K","0.13%"
"02/05/2025","92,929.3","94,329.8","95,345.7","92,500.1","0.26K","-1.50%"
"02/04/2025","94,346.5","98,267.5","98,716.5","92,777.1","0.66K","-3.99%"
"02/03/2025","98,267.3","95,400.4","99,290.7","89,272.3","1.71K","3.01%"
"02/02/2025","95,400.4","97,362.0","98,096.2","93,774.0","0.86K","-2.03%"
"02/01/2025","97,381.7","98,896.6","99,219.3","97,149.0","0.21K","-1.52%"
"01/31/2025","98,888.8","100,710.1","101,932.4","98,000.0","0.49K","-1.81%"
"01/30/2025","100,709.0","99,490.3","101,883.9","99,099.0","0.47K","1.22%"
"01/29/2025","99,490.3","97,170.9","100,500.0","97,107.0","0.42K","2.39%"
"01/28/2025","97,170.9","97,754.0","99,347.3","96,120.0","0.49K","-0.60%"
"01/27/2025","97,753.9","98,048.1","98,666.9","93,501.1","1.15K","-0.30%"
"01/26/2025","98,048.1","99,857.8","100,500.0","98,021.0","0.18K","-1.81%"
"01/25/2025","99,857.8","99,955.0","100,339.8","99,358.1","0.14K","-0.10%"
"01/24/2025","99,954.5","99,803.9","101,932.4","98,500.0","0.45K","0.15%"
"01/23/2025","99,803.9","99,650.7","102,669.7","97,242.1","1.12K","0.15%"
"01/22/2025","99,650.7","102,000.7","102,049.2","99,223.6","0.39K","-2.30%"
"01/21/2025","102,000.0","98,075.2","102,800.0","96,550.0","0.72K","4.07%"
"01/20/2025","98,011.0","98,514.8","105,882.8","96,875.9","2.06K","-0.55%"
"01/19/2025","98,550.1","101,466.6","103,497.9","97,058.8","1.03K","-2.87%"
"01/18/2025","101,466.6","101,164.1","101,776.9","99,171.6","0.37K","0.30%"
"01/17/2025","101,164.1","96,994.3","102,863.3","96,971.1","1.26K","4.30%"
"01/16/2025","96,994.3","97,500.0","97,796.1","94,749.7","0.49K","-0.52%"
"01/15/2025","97,500.0","93,697.2","97,777.0","93,636.8","0.70K","4.07%"
"01/14/2025","93,689.9","92,100.9","94,839.0","92,002.3","0.49K","1.73%"
"01/13/2025","92,100.9","92,249.6","93,599.0","87,638.7","0.89K","-0.13%"
"01/12/2025","92,224.7","92,250.5","92,998.0","91,500.1","0.13K","-0.03%"
"01/11/2025","92,251.3","92,503.3","92,677.9","91,629.0","0.13K","-0.27%"
"01/10/2025","92,503.3","89,921.8","93,474.4","89,881.9","0.49K","2.86%"
"01/09/2025","89,931.7","92,219.0","92,468.2","88,643.3","0.56K","-2.48%"
"01/08/2025","92,219.0","93,772.9","94,020.4","89,970.0","0.58K","-1.69%"
"01/07/2025","93,801.2","98,412.5","98,908.0","92,881.8","0.72K","-4.69%"
"01/06/2025","98,412.5","95,425.8","98,580.0","94,900.0","0.57K","3.12%"
"01/05/2025","95,431.7","95,303.7","95,839.2","94,450.0","0.14K","0.15%"
"01/04/2025","95,293.3","95,245.7","95,800.0","94,685.6","0.14K","0.07%"
"01/03/2025","95,225.5","94,390.8","96,035.1","93,385.4","0.41K","0.88%"
"01/02/2025","94,390.8","91,186.0","95,231.0","91,028.0","0.56K","3.51%"
"01/01/2025","91,186.0","90,166.7","91,737.4","89,646.3","0.17K","1.13%"
"12/31/2024","90,168.1","89,089.9","92,606.9","88,318.1","0.54K","1.21%"
"12/30/2024","89,089.9","89,696.7","91,198.9","87,910.2","0.69K","-0.69%"
"12/29/2024","89,712.0","91,225.0","91,256.3","89,046.1","0.35K","-1.66%"
"12/28/2024","91,224.8","90,371.9","91,560.4","90,251.0","0.22K","0.94%"
"12/27/2024","90,373.5","91,816.3","93,440.0","89,677.3","0.47K","-1.54%"
"12/26/2024","91,791.6","95,526.1","96,028.1","91,473.2","0.35K","-3.91%"
"12/25/2024","95,526.1","94,853.3","95,659.4","93,931.2","0.28K","0.71%"
"12/24/2024","94,853.3","91,109.3","95,645.8","89,831.7","0.52K","4.14%"
"12/23/2024","91,086.8","91,175.8","92,745.4","88,866.8","0.79K","-0.10%"
"12/22/2024","91,182.5","93,378.5","93,565.6","90,386.5","0.46K","-2.35%"
"12/21/2024","93,378.5","93,844.0","95,675.1","92,600.0","0.37K","-0.50%"
"12/20/2024","93,844.0","94,022.9","94,518.1","88,600.0","1.66K","-0.22%"
"12/19/2024","94,050.0","96,776.9","98,680.0","92,197.2","1.26K","-2.84%"
"12/18/2024","96,795.1","101,091.4","101,379.5","96,726.9","0.84K","-4.27%"
"12/17/2024","101,110.1","100,539.8","102,888.0","100,229.9","1.71K","0.57%"
"12/16/2024","100,539.8","98,902.1","102,395.6","98,400.0","1.93K","1.66%"
"12/15/2024","98,902.1","96,509.2","99,550.0","96,403.0","0.59K","2.47%"
"12/14/2024","96,513.6","96,600.9","97,640.0","95,860.0","0.22K","-0.10%"
